reviews	descs
In contrast, the studied learning rates are asymptotic and there is a big discrepancy.	Missing details on methodology (eg., use of notation, use on tasks, etc)
2) How are the rules from in Eq (2)? i.e., how is \beta_i selected for each i?	Missing details on methodology (eg., use of notation, use on tasks, etc)
In Section 4.3 and 4.4, is the x_0 (defined in Section 2.1) complex-valued STFT coefficients or something else?	Missing details on methodology (eg., use of notation, use on tasks, etc)
-- Since CounMin is closely related to Bloom filters the idea of using machine learning to speed it up appears to be noticeably less novel given that for Bloom filters this has already been done by Mitzenmacher’18.	Incremental novelty of method as compared to related work
"""reverse view on adversarial examples"" --- what this means isn't clear from the preceding text."	Unclear description of method
-Some technical details  are missing.	Unclear description of method
Plugging this distance into the WAE produces similar performance to existing WAE variants, but does not really advance the existing achievable performance.	Incomplete details on perfromance of the method
- it wasn't clear how the sparsity percentage on page 3 was defined?	Missing details on methodology (eg., use of notation, use on tasks, etc)
You should use an existing ES implementation (e.g., from some well-known package) instead of a naive implementation, and as additional baseline also CMA-ES.	incorrect claims for related work
Specifically, prior work considered non-missing data during training, while we can't always guarantee that all the modalities are available.	Incorrect assumptions as compared to related work
So this work has to be supported with more detailed experimental results to express the potential of this approach fully.	Need more experimental results
- The analysis in [1] handles the case of noisy updates, whereas the analysis given here only works for exact updates.	Too strong assumptions in analysis
However the theoretical contribution is poor. And the experiment uses a very classical benchmark providing simulated data.	Not enough novelty in experiments (seems similar to previous work)
While I like the premise of the paper, I feel that it needs more work.	Lacking clarity overall (needs better presentation)
Please explain the logic for this architectural choice.	Correctness of algorithm proposed
Ablation studies that show the proposed algorithm can improve upon the baseline in all settings would make this a stronger paper.	Incomplete details on perfromance of the method
More explanation of canonicalization is needed.	Correctness of algorithm proposed
A lot of the times, the result seem to be a derivative of the work by Bietti and Mairal, and looks like the main results in this paper are intertwined with stuff B+M already showed in their paper.	Not enough originality in results (not surprising)
Clarity: The clarity is below average.	3. The paper is not nicely written or rather easy to follow.
Authors claim adding one layer of DeepSet layer to a PointNet becomes PointNetST, but I see this as a special DeepSet with a single transmission layer.	Incomplete details on perfromance of the method
All of these pieces are very well-known methods (e.g. VAEs, conditional VAEs, CL, catastrophic forgetting, domain transformation) in the literature and this paper puts them together in a straightforward way.	Incomplete details on perfromance of the method
- Contribution overall may be a bit limited	While sensible, this seems to me to be too minor a contribution to stand alone as a paper.
Making this algorithm not very practical.	Incomplete details on perfromance of the method
Eq (2) cannot have Delta Chi on the two sides.	Correctness of algorithm proposed
I appreciate the idea of testing full white-box adversarial attacks here. But I don’t understand how it is possible that DDGC is more robust, with higher adversarial test accuracy, than in Table 3.	Correctness of algorithm proposed
However, the fact that models with less parameters perform better than BERT-based models in the low-resource case is not very surprising.	Limited novelty in theoretical contribution
Attacking CRBMs is highly relevant and should be included as a baseline.	Missing baselines
6. Validation data / test sets: Throughout this work, it is unclear what / how validation is performed.	Lack of discussion on datasets (size, motivation for use, etc)
The paper offers some analysis, suggesting when each of the conditions occurs, upper bounds the smallest singular value of D A (where the example dependent diagonal matrix D incorporates the ReLU activation (shouldn’t this be more clearly introduced and notated?).	Lack of discussion of analysis
3) In its current form, the experimental results are extremely cherry-picked, with a very small number of tasks evaluated, and for each task a single selected baseline used.	Need more experimental results
5. One of the anonymous comments on OpenReview is very interesting: samples from a CIFAR model look nothing like SVHN.	claims on the datasets is questionable
Language modeling is a fast-moving field, so the very latest and greatest techniques are not strictly necessary for this paper, but at least midsize LSTM models that get scores in the ~80 ppl range for Penn Treebank are important, otherwise it becomes very questionable whether the results will provide any practical impact in today's best models.	Incomplete details on perfromance of the method
It looks like neither the experiments nor Theorem 3.2 show any benefit to PowerSGDM over PowerSGD.	Experimental study not strong enough
"In the attentional LSTM, the use of “parse LSTM” is also not a standard approach in seq2seq models and doesn’t seem to work well in the experiment (similar result to “Simple LSTM"")."	Correctness of algorithm proposed
The KL divergence regularization introduces extra randomness to the auxiliary labels and thus mitigates the problem, but it hardly provides any useful information except randomness.	Incomplete details on perfromance of the method
4.4, law of total variation -- define	Unclear description of method
"Also, a ""1x"" label seems to be missing in for the full softmax, so that the reference is clearly specified."	Incorrect assumptions as compared to related work
Although a generic framework that learns to solve online combinatorial optimization problems without domain knowledge is by itself a very motivational goal neither the paper successfully demonstrates that the framework the authors propose achieves this goal nor it explains well enough why one would take the machine learning approach to find good algorithms to such problems.	Incomplete details on perfromance of the method
"The basic idea is very interesting, but I would have expect more interesting use cases as teased by the first sentence of the abstract ""find algorithms with strong worst-case guarantees for online combinatorial optimization problems""."	Need more interesting problem definition
Additionally, I believe the experimental tasks are new, and as a result all implementations of competing techniques are by the paper authors. This makes it difficult to have confidence in the higher reported performance of the proposed techniques.	Lack of comparison with related works
Furthermore, I do not see legend in Figure 3 and thus I cannot figure out what the curves represent.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
I believe it will not be great, but I think for completeness, you should add such a baseline.	Limited improvement over baselines
Weaknesses: The main weakness of the paper is that the performance gains are extremely low compared to the next contender; perhaps they are statistically significant (this cannot be determined), but it's unclear why we wouldn't use GBDT.	generalizability of results is questionable
While the comparison with HSIC is a helpful one, it is also required to compare with the competing method closest to yours, i.e.	Missing theoretical comparisons
For example, it is unclear to me why some larger models are not amenable to truncation.	Unclear description of method
There is not sufficient detail to reproduce the models based on the paper alone.	Missing details on methodology (eg., use of notation, use on tasks, etc)
On the other hand it is clear that using the confidence of the model to predict the dataset is a useful property, but the right side of the Fig. is very confusing.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
However, the experiments feel like they are missing motivation as to why this method is being used.	More variations of experiments needs to be added
The only issue with this paper is its degree of novelty, which is narrow.	Overall not original enough (primary claim, limited evaluation, limited novelty)
1. The approach is not well justified either by theory or practice.	Correctness of algorithm proposed
As proposed in the comments, this should be assessed in the paper by replacing BERT representations by non-contextual representations such as GloVE.	Incomplete details on perfromance of the method
The language around skills and the extent of prior knowledge still downplays things a bit too much for my liking.	Unclear description of method
However, the selected experiments on the cubic regression toy data (Section 5.1) and the out-of-distribution classification (Section 5.2) are clear examples of system’s noise, i.e. epistemic uncertainty.	Lack of realistic datasets used in experiments (small siz, synthetic)
To start with, the set of rotations R(phi, nu, 0) called the alt-az group in this paper is not a group in the mathematical sense.	Correctness of algorithm proposed
It adds extra complexity, requires you to do function composition which may be less expressive and takes more coomputation, etc. And to what end?	Correctness of algorithm proposed
However, the authors do not provide an in-depth discussion of this phenomena.	Incomplete details on perfromance of the method
* The claim that training a separate decoder for each domain necessarily leads to prohibitive training times is dubious -- a single conditional decoder would arguably need more capacity than each individual separate decoder model.	design choices are questionable
Weaknesses: Paper could have been written better. I had hard time understanding it.	3. The paper is not nicely written or rather easy to follow.
(6) If the authors jointly and simultaneously optimize \theta and \phi, why a regularization term about q_{\phi}(z)  is missing in Eq 12 while a regularization term about \pi_{\theta|z} does appear in Eq 12?	Correctness of algorithm proposed
However, although the proposed method achieves good performance over various (smaller) benchmarks, the method seems ad-hoc and complicated.	Correctness of algorithm proposed
The introduction contains a few statements that may paint an incomplete or confusing picture of the current literature in adversarial attacks on neural networks:	Incorrect claims in introduction (confusing related work presented in intro, wrong claims)
There is a little typo in Formula 1 for the STFT spectrogram, I would use the modulus |.| rather than || . ||.	Unclear description of method
This hyperparameter itself benefits from (requires?) some scheduling.	Correctness of algorithm proposed
It is not clear to me that the classifier difference metric is well-defined.	Missing details on methodology (eg., use of notation, use on tasks, etc)
- I didn't understand the motivation for testing only very general-purpose models (this is described in Section 3).	Incomplete details on perfromance of the method
Furthermore, in the beginning of Section 3.1 the authors present their idea on probabilistic hypernetoworks which “maps x to a distribution over parameters instead of specific value \theta.” How is this different from the case that we were considering so far? If we had a point estimate for \theta we would not require to take an expectation in Equation (3) in the first place.	While better than most of the baseline methods, the N^2 memory/computational complexity is not bad, but still too high to scale to very large graphs.
For instance, using codes and codebooks to compress the weights has already been used in [1,2].	Incremental novelty of method as compared to related work
If faster training of dictionary learning models was a bottleneck in practical applications, this might be of interest, but it is not.	Missing explanation of utility of proposed method
2) The main contributions of this paper are not quite clear to me.	3. The paper is not nicely written or rather easy to follow.
- Although the authors discussed the experiment setting in detail in supplements, I believe open-sourcing the code / software used to conduct the experiments would be greatly help with the reproducibility of the proposed method for researchers or practitioners.	Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.
2. The paper never clearly demonstrates the problem they are trying to solve (nor well differentiates it from the compressed sensing problem  or sample selection problem)	Limited contribution in problem definition
Overall, the method looks incremental and experimental results are mixed on small datasets so I vote for rejection.	Overall, the method looks incremental and experimental results are mixed on small datasets so I vote for rejection.
More importantly, the results presented are quite meager.	generalizability of results is questionable
It is highly recommended to provide the pseudocode of the proposed method.	Missing details on methodology (eg., use of notation, use on tasks, etc)
- The proposed method does not outperform the existing state-of-the-art methods in terms of classification accuracy.	Incomplete details on perfromance of the method
- there is no attempt to provide a theoretical insight into the performance of the algorithm	Incomplete details on perfromance of the method
"- Sec 2.2: ""(GNNs) are very effective"" effective at what? what is the metric that you consider?"	Correctness of algorithm proposed
The imagenet experiment lacks details.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
One drawback is that it is highly specific to language models.	Limited insights based on design choices
This is also lacking from the description of the experimental protocol, which does not address the data-splits (how many classes were used for each) and size of the unlabelled test set.	Limited generalizability of claims on other datasets
In terms of writing, the paper is a bit confusing in terms of motivations and notations.	3. The paper is not nicely written or rather easy to follow.
- I am not sure what you mean in 5.4 “we omit all grid search/ binary search steps	Unclear description of method
This is a very good point, however the paper do not compare or contrast with existing methods.	Improper comparison of related work in terms of implementation
Three datasets cannot make the experiments convincing.	Lack of realistic datasets used in experiments (small siz, synthetic)
Don't the updates in Eq 1 and 2 take care of this? The ablation does not test this, right?	Correctness of algorithm proposed
- Why does structured exploration reduce the number of network parameters that need to be learned?	Incomplete details on perfromance of the method
So at the end, I am a bit puzzled. I really like the idea, but I have the feeling that this technique should have been developed for more complicated setting. Or maybe it is actually not working on more difficult combinatorial problem (and this is hidden in the paper).	Need more interesting problem definition
The paper also misses relevant citations of similar questions from the field of (probabilistic) matrix factorization and relational learning.	Missing literature review (some literature not included, misses baseline citations, etc)
a) The uncertainties produced by CDN in Figure 2 seems strange.	Incomplete ablation in terms of tables and figures
"It should be better motivated why one should use the duality gap as an upper bound for the ""F-distance""."	Missing details on methodology (eg., use of notation, use on tasks, etc)
One of the main area which is missing in the paper is the comparison to two other class of RL methods: count-based exploration and novelty search.	Missing theoretical comparisons
In particular there is not any theoretical not experimental evidence that the approach would scale to any instances where a pure optimization approach would be slow to provide any meaningful solutions.	Incomplete details on perfromance of the method
"and rendering the third claim from the introduction (""We propose an new algorithm with the new metric which demonstrates better results than state-of-the-art algorithms."") completely untrue."	"and rendering the third claim from the introduction (""We propose an new algorithm with the new metric which demonstrates better results than state-of-the-art algorithms."") completely untrue."
3. The structure of the meta-training loop was unclear to me.	Incomplete details on perfromance of the method
* The paper is almost 9 pages long, but the contribution does not appear more substantial than a standard 8-page submission.	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
3. This apart, I think that the experiment section is pretty hard to read, given all the metrics and methodology is in the Appendix.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
- It isn't clear from the tables that OCE_0.1 outperforms REINFORCE_Z (as is mentioned in the discussion).	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
"Also, Figure 6 is referenced in the text in the context of binary multiplication (""[...] is able to outperform a multiplier created just by training, as can be seen in Figure 6""), but presents results for addition and factorization only."	Incomplete ablation in terms of tables and figures
"2. In the caption of figure 2, there should be a space after `"":""."	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
The convergence analysis is on Z, not on parameters x and hyper-parameters theta.	Too strong assumptions in analysis
1. The paper should also talk about the details of ARNet and discuss the difference, as I assume they are the most related work	Missing baselines
-- solving Eq 3 by matrix inversion does not scale. Would be best to also show results using iterative optimization	correctness of results presented is questionable(eg., metrics, complexity, etc)
The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.	The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.
"4) There are several typos/grammar issues e.g. ""believed to occurs"", ""important parameters sections"", ""capacity that if efficiently allocated"", etc.)."	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
"- Theorem 3.2: ""[...] converges at a speed proportional to [...]"". Isn't \bar{u}_t logarithmic (non-linear) in t?"	Incomplete details on perfromance of the method
If this solution can be proven to improve a valuable metric (e.g. accuracy, interpretability, theoretical understanding, or computational efficiency) of a setup, it is then worthwhile being published.	generalizability of results is questionable
Since the latent models are learned based on existing techniques, the paper presents an incremental contribution.	Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)
I cannot understand from that part whether T(v_a, v_b,.) addition to v_a+v_b gives any improvement or not.	generalizability of results is questionable
- Why are there missing BLEU scores and the number of parameters in Table 1?	Incomplete ablation in terms of tables and figures
Also, one simple way to stop these adversarial cases would be to explore using Sigmoid as opposed to softmax.	Correctness of algorithm proposed
(1) using codes and codebooks to compress weights; and	Limited novelty in theoretical contribution
However, it looks like authors only compared with VIB which is similar to the proposed method in terms of the objective function.	Missing theoretical comparisons
For the learnable data augmentation it would be great if the authors could provide more insight into the method, how it works, and why is it better than the alternatives.	Unclear description of method
The plot (Figure2 (d)) is very blurry and people cannot really tell local structure from it.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
I think all claims about running time should be corroborated by controlled experiments.	Lack of experimental details (no of images, sampling criteria, etc)
6. On CIFAR10 the results seem to be worse that other methods.	Limited improvement over baselines
Moreover, the very limited size of the language modeling tasks chosen here is highly advantageous for smoothing/regularization approaches.	Incomplete details on perfromance of the method
There isn't a tested hypothesis, but rather it's a feat of engineering to get this to work.	Incomplete details on perfromance of the method
However, to state the result of Theorem 4.3, k should be bigger than M c_\eta from the dentition of \tilde{\rho}_k^M, as shown under the equation (4).	Correctness of algorithm proposed
Moreover, as observed by the authors this analysis currently rely on strong assumptions that might make it rather unrealistic.	Too strong assumptions in analysis
Unfortunately the paper doesn't provide any qualitative analysis on how modulation is employed by the models after training.	Unfortunately the paper doesn't provide any qualitative analysis on how modulation is employed by the models after training.
Besides, the results on the sentimental analysis are comparable with the compared baselines.	Results are more or less similar to baselines
"""Table 4 shows that our first results are promising, even though they are not as good as the state of the art."" The state of the art on LibriSpeech is not Mohamed at al. 2019. See e.g. Irie et al. Interspeech 2019 for better result"	correctness of results presented is questionable(eg., metrics, complexity, etc)
The authors could run each WAE training process K times (with random initialization) to see if the closed-form distance enables more stable results.	Experimental study not strong enough
Some figures, like Figure 3 and 4, are hard to read.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Since the novelty of this work lies in the introduction of the CW distance, I would like to see an independent evaluation of this distance as a  general statistical distance measure (independently of its use in CWAE).	Incomplete details on perfromance of the method
The testbeds all existed previously and this is mostly the effort of pulling then together.	Incremental novelty of method as compared to related work
- The paper should refer to 1) the reward shaping literature, 2) the growing line of works concerned with control variates for REINFORCE (such as VIMCO, MuProp, REBAR) and 3) the growing line of works concerned about combinatorial optimization with reinforcement learning (Neural Combinatorial Optimization with Reinforcement Learning, etc.)	Missing baselines
- I understand the upper bounds on the singular values, but I am not sure how they relate to inverse stability.	Unclear description of method
Some of the experiments (eg. comparisons involving ShakeShake and ScheduledDropPath, Section 5.2) could also be moved to the appendix in order to make room for a description of LEMONADE in the main paper.	Some of the experiments (eg. comparisons involving ShakeShake and ScheduledDropPath, Section 5.2) could also be moved to the appendix in order to make room for a description of LEMONADE in the main paper.
What if you used simpler online learning algorithms with formal accuracy guarantees?	Incomplete details on perfromance of the method
Overall, I am not sure what we could gain from this research direction.	While sensible, this seems to me to be too minor a contribution to stand alone as a paper.
The comparisons are also absent in experiments.	More experiments needed with related work
There is also a matter of ease of training compared to existing approximations or relaxations, e.g. Gumbel-Sinkhorn.	Limited improvement over baselines
Cons:  unclear transfer learning model, insufficient experiments.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
- Missed opportunity of better analysis of which theorem/rewrite rule properties are more likely to fail	Lack of analysis
But there are no comparisons between the proposed training method and previous related works.	Incorrect baselines used
- In Table 4, it is hard to compare DeepTwist with the other methods because activation quantization is not used.	Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)
It needs to be ascertained when equality holds in the bounds you propose, so that we know how tight they are. What if the bounds are too loose to be practical?	Correctness of algorithm proposed
3) The experiments are completely preliminary and not reasonable:	Experimental study not strong enough
Indeed, without referencing the original Pointer Network and (and especially the) Transformer papers, it would not be possible to understand this paper at all.	Improper writing of realted work section (as in 1 paragraph rather than multiple for related work, explanation of somepapers, etc)
a. In Eq. (3), it surprises me to see the symbol \epsilon without any explanation.	Correctness of algorithm proposed
Thus, the theoretical contribution of this paper is limited.	Incomplete details on perfromance of the method
Moreover, said the analysis is in my opinion not sufficiently rigorous, with hand-wavy arguments, no formal proof and unclear terms (e.g. how do you define near-optimal?)	Lack of analysis
-The proposed technique seems to include very heavy feature engineering and several ad-hoc practical steps--that is far from the motivation of using NN in tabular data.	Correctness of algorithm proposed
The IDF scores would be stronger if they were computed on a bigger in-domain corpus than the gold test set.	Lacking details on datasets
Both the results on the development set and on the test set should be reported for the validity of the experiments.	Need more experimental results
1. [The claim] One of my concerns for this paper is the assumption of the factorized latent variables from multimodal data.	claims on the datasets is questionable
Since finding an adversarial with smaller perturbation is a harder problem, it is unclear how the algorithms compare for finding adversarial examples with similar distortion.	Unclear description of method
(c) The authors should present what they mean by a dilated convolution using the notation of the paper.	Missing details on methodology (eg., use of notation, use on tasks, etc)
3. How do PPO and SimPLe handle partial observability? Is it principled to apply them to partially-observable environments?	Incomplete details on perfromance of the method
In particular I do not think the satement 'all the pre-training methods are at most linear with respect to the number of edges' made in appendix F is correct.	More variations of experiments needs to be added
Roughly, the theorem states that if for example we fix any matrix B of size e.g. 256 x k and matrix U of size 512 x 256 and then compute U relu(B C) where C is the vector of parameters of size k x 1, AND if k < 2.5 (i.e. if we use at most 2 parameters), then it would be very hard to fit 512 iid gaussian values (i.e. min_C ||U relu(B C) - eta|| where eta ~ N(0, 1)).	Correctness of algorithm proposed
This is actually a direct consequence of any minmax theorem in game theory; the authors decided to credit that result to Yao (I tend to *strongly* disagree with that point as, even if he stated this fact in CS, this result was quite standard several decades before him - anyway.).	Incorrect explanation of resuts
I do not see these experimental settings mentioned anywhere in the paper, and this is very concerning.	design choices are questionable
While I could imagine human judges preferring them as they are fluent, I think they are wrong as they express a different meaning than the SPARQL query they are supposed to express.	Unclear description of method
"--What does a ""heavy classifier"" imply concretely?"	Missing details on methodology (eg., use of notation, use on tasks, etc)
Objectively saying that the author's method is better than CycleGAN is difficult. How does their ensemble method compare to just their single-agent dual method? Is there a noticeable difference there?	Correctness of algorithm proposed
The proposed approach is very similar to the CE method by Rubinstein (as stated by the authors in the related work section), limiting the contributions of this paper.	Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)
- the notation q appeared in the middle part of page 3 before the definition of q is shown in the last paragraph of p.3.	Unclear description of method
-  Figure 2 are hard to read for different M's. It would be better if the authors can show the exact accuracy numbers rather than the overlapped lines	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
1. For the evaluation of DBA, I assume that there are 4 adversarial parties, controlling each of the 4 local triggers. When using centralized attacks, are there still 4 adversarial parties, although they share the same global trigger, or if there is only 1 adversarial party?	Missing details on methodology (eg., use of notation, use on tasks, etc)
Therefore, it is a little misleading to still call it Bayesian active learning.	Correctness of algorithm proposed
The motivation for the proposed method is to solve the mode collapse problem of MC-Dropout, but using ensemble loses the Bayesian support benefit of MC-Dropout.	Correctness of algorithm proposed
- figures 2 & 3 should be a lot larger in order to be readable	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
"When you say that full-matrix computation ""requires taking the inverse square root"", I assume you know that is not really correct?"	Correctness of algorithm proposed
The current tasks and problem sizes are not very convincing, and the accuracy results are not very compelling.	generalizability of results is questionable
Though promising results have been demonstrated, a drawback of the proposed method is that it introduces more memory overhead compared to GPipe.	Generalizability of results in terms of method parameters (only applies for some number of parameters, only for these type of matrices, etc)
Without doing so, it leaves the reader wondering why not simply a standard RBM trained using a standard method (e.g. contrastive divergence).	Incomplete details on perfromance of the method
Spectrum pooling has been used in the community of computer vision and machine learning.	Incremental novelty of method as compared to related work
The improved training procedures for MI estimation are of interest, however the hypothesis testing parts of the paper could still be improved.	Incomplete details on perfromance of the method
The experiments are not very convincing or illustrative of the theoretical results in my opinion.	design choices are questionable
However, the implementation details are hazy, and some design choices (which operations, hyperparameters etc.) aren't well justified.	Correctness of algorithm proposed
But it is easy to see that eq. 10 will give different results for each of these coordinates, because they correspond to different rotations of the filter about the Z-axis.	Correctness of algorithm proposed
These synthetic setting can be used for sanity check, but cannot be the main part of the experiments.	design choices are questionable
Specifically, which features are perturbed, what are the values assigned as the trigger, and what is the corresponding target label?	Missing details on methodology (eg., use of notation, use on tasks, etc)
1. I found the argument about FID in section 2.1 unconvincing. Are there proofs or citations for the claim that real images don't follow multivariate gaussian distribution after applying FID? Copying is indeed an issue that FID cannot detect, but it may be tangential to model collapse for real world concerns like privacy.	Correctness of algorithm proposed
While I understand that quantifying performance in this application is difficult, I do find the results difficult to interpret.	correctness of results presented is questionable(eg., metrics, complexity, etc)
I don’t understand the claim that “GANs prioritize matching joint distributions of pixels over per-pixel reconstruction” and its implication that VAEs do not prioritize joint distribution matching.	Unclear description of method
There exists more principled approaches for selecting out-distribution images that has not considered here like those based on uncertainty estimation or recently proposed direct out-distribution detectors.	Limited novelty in theoretical contribution
- In the proof you wrongfully use the term telescope sum twice, there is nothing telescopic about the sum it is just bound by the max value times the length.	Correctness of algorithm proposed
* \sigma is not given in Figure 3(a)	Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)
The idea that introduces labels in VAE is not novel.	The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.
The above papers are not cited in this paper.	Missing citations in the paper
The authors do not focus (in the main paper) on GAN variants used currently, and it is not clear if the proposed approach provides improvement relative to the current state of the art implementations (see next paragraph)	Unclear description of method
One way to improve to work would be to provide practical takeaways from the theory or to provide experiments in the main paper.	Experimental study not strong enough
This discrepancy exists for GANs, but it is a bigger issue for the duality gap interpretation.	Correctness of algorithm proposed
However, I have a few concerns about the results.	correctness of results presented is questionable(eg., metrics, complexity, etc)
- Page 14, Eq(14), \lambda should be s	Unclear description of method
- Limited analysis of model/architecture design choices	Reproducibility of result
I also struggled a little to understand what is the difference between forward interpolate and filtering.	Unclear description of method
In particular, the qualitative results are too limited and no quantitative evaluations is provided.	generalizability of results is questionable
Nevertheless, I believe that it still has to address some points in order to be better suited for publication:	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
"* In the introduction, ""the classical approach"" is mentioned but to be the latter is"	Unclear intro (eg. contributions)
This means that it is not apriori clear if using this solver instead of standard SGD, ADAM is any good.	Correctness of algorithm proposed
- Table 3 is a bit confusing as-is (lower is only better when controlling on the quality of the best sample.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Due to the different objects used in the different datasets, some of the experiments have a smaller set of words.	Less datasets used
- Grammatical errors and odd formulations all over the place	3. The paper is not nicely written or rather easy to follow.
Those seem to be quite limiting features of these methods, which is not to say that they are not useful in that realm, but only to clarify my understanding of their possible scope of application.	Incomplete details on perfromance of the method
"2.	The experiments are rather insufficient."	Experimental study not strong enough
- in section 2.2, please explain more how gradients w.r.t hyper-parameters are computed.	Missing details on methodology (eg., use of notation, use on tasks, etc)
(a) a comparison to other methods (outside the current framework) for sound separation	Improper comparison of related work in terms of implementation
"9.2.	In formula (1.5) “<=>” seems to be used at different levels (?) it would be good to use brackets to make clear which level “<=>” refers to."	Unclear description of method
First of all, I don’t understand how the main equation of the compound density network in Equation (3) is different from the general case of a Bayesian neural network? Can the authors please comment on that?	Missing details on methodology (eg., use of notation, use on tasks, etc)
Considering the optimization problem involved in the learning process, it is hard to judge whether the effect of such a procedure from the optimization perspective.	Correctness of algorithm proposed
- the more interesting problem, RL + auxiliary loss isn’t evaluated in detail	Need more interesting problem definition
Was crossvalidation used to select the topology?	Missing details on methodology (eg., use of notation, use on tasks, etc)
This restriction exists in Dreamer, and the method cannot be applied to discrete control tasks unless approximation techniques such as Gumbel-softmax are used.	Correctness of algorithm proposed
3) The overall performance of the proposed SST in the experiments is not convincing and not promising.	design choices are questionable
- the name 'Bundle Adjustment' is actually not adapted to the proposed method.	Correctness of algorithm proposed
Do people leave the negations in when modifying such examples for entailment or neutrality, thus breaking the simple correspondence?	Correctness of algorithm proposed
"The performance of the proposed method is worse than the previous work but they claimed ""state-of-the-art"" results."	incorrect claims for related work
Fourth, there are some grammar mistakes and typos.	3. The paper is not nicely written or rather easy to follow.
"* In related work, no reference to previous work on ""statistical"" approaches to NN"	Missing baselines
Also, the ensemble of MC-Dropout models does not have the theoretic support from the Bayesian perspective.	Correctness of algorithm proposed
(W7b) Likewise I wonder if we could just measure transfer more directly as well and why we need to go via these CFS sets	Incomplete details on perfromance of the method
- For the synthetic tree, why is the number of edges 2(|V|-1) rather than |V|-1?	Correctness of algorithm proposed
The role of \sigma seems very redundant given \omega.	Correctness of algorithm proposed
What is the purpose then for introducing the matrix variate Gaussian?	Missing details on methodology (eg., use of notation, use on tasks, etc)
Third, the comparison to baseline and “DeepSet” is not fair.	Missing baselines
First, I consider the tabular features as multi-feature data and less to be the multimodal data.	claims on the datasets is questionable
The paper does not contain an attempted proof of equivariance, and if one tries to give one, the impossibility of doing so will become apparent.	Incomplete details on perfromance of the method
Similarly, I'd have expected baselines that included those models in the evaluation section showing the differences in performance between the newly proposed Transformer model for trees and previously used methods.	Improper comparison of related work in terms of implementation
However, the experiments are overall not very useful to the comprehension of the paper and not that illustrative.	Experimental study not strong enough
Further the contributions are not clear at all, since a large part of the detailed approach/equations relate to the masking which was taken from previous work.	Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)
- Very little details (apart from the optimization algorithm) are given regarding the architecture used (types of input, output, neural units, activation functions, number of hidden layers, loss function, etc...), which makes it very hard to reproduce this approach.	Missing details on methodology (eg., use of notation, use on tasks, etc)
I vote to reject the paper at this stage, mainly because of the following three points:	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
- The paper is over the hard page limit for ICLR so needs to be edit to reduce the length.	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
Since q_rel require one hot vector as input, how to sample the q_rel given the importance score and how backprob the gradient in this case?	Missing details on methodology (eg., use of notation, use on tasks, etc)
- Please comment on the extra computation required for obtaining image data for MT sentences and for learning image representations.	Lacking details on datasets
Given the paper title, the reviewer would have expected more experiments in a multiple domain context.	Experimental study not strong enough
It looks like all the results are given on the test set. Did you not do any tuning on the validation data?	claims on the datasets is questionable
Section 4 seems to lack a high-level idea of what it want to prove -- the hypothesis around the volume term is dismissed shortly after, and it ultimately proves that we do not know what is the reason behind the high SVHN likelihood, making it look like a distracting side-experiment.	Incomplete details on perfromance of the method
The proposed method is also heuristic and lacks promising guarantee.	Correctness of algorithm proposed
Also, since the synthetic image pairs are not multimodal in nature, it is unclear to me for what the messages are conveyed in Figure 3 and 4.	Incomplete ablation in terms of tables and figures
"* Some turns of phrase like ""recently gained a flourishing interest"", ""there is still a wide gap in quality of results"", ""which implies a variety of underlying factors"", ... are vague / do not make much sense and should probably be reformulated to enhance readability."	Improper explanation of results (as in advantages, why are results better, etc)
My major concern is that the authors assume the hyperparameters to be independent (section 3.2), which is not necessarily true.	Correctness of algorithm proposed
